match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3916091,Derby County,0.61,0.83,"window.open(""https://www.fotmob.com//match/3916091/matchfacts/bolton-wanderers-vs-derby-county"")",Bolton Wanderers vs Derby County,"<b>Match</b>: Bolton Wanderers vs Derby County
<b>xG For</b>: 0.61
<b>xG Against</b>: 0.83"
3916092,Accrington Stanley,1.02,1.95,"window.open(""https://www.fotmob.com//match/3916092/matchfacts/accrington-stanley-vs-barnsley"")",Accrington Stanley vs Barnsley,"<b>Match</b>: Accrington Stanley vs Barnsley
<b>xG For</b>: 1.02
<b>xG Against</b>: 1.95"
3916092,Barnsley,1.95,1.02,"window.open(""https://www.fotmob.com//match/3916092/matchfacts/accrington-stanley-vs-barnsley"")",Accrington Stanley vs Barnsley,"<b>Match</b>: Accrington Stanley vs Barnsley
<b>xG For</b>: 1.95
<b>xG Against</b>: 1.02"
3916093,Wycombe Wanderers,0.55,1.09,"window.open(""https://www.fotmob.com//match/3916093/matchfacts/wycombe-wanderers-vs-ipswich-town"")",Wycombe Wanderers vs Ipswich Town,"<b>Match</b>: Wycombe Wanderers vs Ipswich Town
<b>xG For</b>: 0.55
<b>xG Against</b>: 1.09"
3916093,Ipswich Town,1.09,0.55,"window.open(""https://www.fotmob.com//match/3916093/matchfacts/wycombe-wanderers-vs-ipswich-town"")",Wycombe Wanderers vs Ipswich Town,"<b>Match</b>: Wycombe Wanderers vs Ipswich Town
<b>xG For</b>: 1.09
<b>xG Against</b>: 0.55"
3916094,Barnsley,1.95,0.36,"window.open(""https://www.fotmob.com//match/3916094/matchfacts/barnsley-vs-burton-albion"")",Barnsley vs Burton Albion,"<b>Match</b>: Barnsley vs Burton Albion
<b>xG For</b>: 1.95
<b>xG Against</b>: 0.36"
3916094,Burton Albion,0.36,1.95,"window.open(""https://www.fotmob.com//match/3916094/matchfacts/barnsley-vs-burton-albion"")",Barnsley vs Burton Albion,"<b>Match</b>: Barnsley vs Burton Albion
<b>xG For</b>: 0.36
<b>xG Against</b>: 1.95"
3916095,Shrewsbury Town,1,1.46,"window.open(""https://www.fotmob.com//match/3916095/matchfacts/shrewsbury-town-vs-bolton-wanderers"")",Shrewsbury Town vs Bolton Wanderers,"<b>Match</b>: Shrewsbury Town vs Bolton Wanderers
<b>xG For</b>: 1
<b>xG Against</b>: 1.46"
3916095,Bolton Wanderers,1.46,1,"window.open(""https://www.fotmob.com//match/3916095/matchfacts/shrewsbury-town-vs-bolton-wanderers"")",Shrewsbury Town vs Bolton Wanderers,"<b>Match</b>: Shrewsbury Town vs Bolton Wanderers
<b>xG For</b>: 1.46
<b>xG Against</b>: 1"
3916096,Forest Green Rovers,0.97,0.25,"window.open(""https://www.fotmob.com//match/3916096/matchfacts/forest-green-rovers-vs-cheltenham-town"")",Forest Green Rovers vs Cheltenham Town,"<b>Match</b>: Forest Green Rovers vs Cheltenham Town
<b>xG For</b>: 0.97
<b>xG Against</b>: 0.25"
3916096,Cheltenham Town,0.25,0.97,"window.open(""https://www.fotmob.com//match/3916096/matchfacts/forest-green-rovers-vs-cheltenham-town"")",Forest Green Rovers vs Cheltenham Town,"<b>Match</b>: Forest Green Rovers vs Cheltenham Town
<b>xG For</b>: 0.25
<b>xG Against</b>: 0.97"
3916097,Ipswich Town,0.64,0.72,"window.open(""https://www.fotmob.com//match/3916097/matchfacts/ipswich-town-vs-peterborough-united"")",Ipswich Town vs Peterborough United,"<b>Match</b>: Ipswich Town vs Peterborough United
<b>xG For</b>: 0.64
<b>xG Against</b>: 0.72"
3916097,Peterborough United,0.72,0.64,"window.open(""https://www.fotmob.com//match/3916097/matchfacts/ipswich-town-vs-peterborough-united"")",Ipswich Town vs Peterborough United,"<b>Match</b>: Ipswich Town vs Peterborough United
<b>xG For</b>: 0.72
<b>xG Against</b>: 0.64"
3916098,Lincoln City,0.59,0.32,"window.open(""https://www.fotmob.com//match/3916098/matchfacts/lincoln-city-vs-wycombe-wanderers"")",Lincoln City vs Wycombe Wanderers,"<b>Match</b>: Lincoln City vs Wycombe Wanderers
<b>xG For</b>: 0.59
<b>xG Against</b>: 0.32"
3916098,Wycombe Wanderers,0.32,0.59,"window.open(""https://www.fotmob.com//match/3916098/matchfacts/lincoln-city-vs-wycombe-wanderers"")",Lincoln City vs Wycombe Wanderers,"<b>Match</b>: Lincoln City vs Wycombe Wanderers
<b>xG For</b>: 0.32
<b>xG Against</b>: 0.59"
3916099,Milton Keynes Dons,1.63,0.43,"window.open(""https://www.fotmob.com//match/3916099/matchfacts/milton-keynes-dons-vs-fleetwood-town"")",Milton Keynes Dons vs Fleetwood Town,"<b>Match</b>: Milton Keynes Dons vs Fleetwood Town
<b>xG For</b>: 1.63
<b>xG Against</b>: 0.43"
3916099,Fleetwood Town,0.43,1.63,"window.open(""https://www.fotmob.com//match/3916099/matchfacts/milton-keynes-dons-vs-fleetwood-town"")",Milton Keynes Dons vs Fleetwood Town,"<b>Match</b>: Milton Keynes Dons vs Fleetwood Town
<b>xG For</b>: 0.43
<b>xG Against</b>: 1.63"
3916101,Oxford United,1.2,0.62,"window.open(""https://www.fotmob.com//match/3916101/matchfacts/oxford-united-vs-barnsley"")",Oxford United vs Barnsley,"<b>Match</b>: Oxford United vs Barnsley
<b>xG For</b>: 1.2
<b>xG Against</b>: 0.62"
3916101,Barnsley,0.62,1.2,"window.open(""https://www.fotmob.com//match/3916101/matchfacts/oxford-united-vs-barnsley"")",Oxford United vs Barnsley,"<b>Match</b>: Oxford United vs Barnsley
<b>xG For</b>: 0.62
<b>xG Against</b>: 1.2"
